,supplier,website,useorno
0,"Realgy, LLC",http://www.realgyenergyservices.com/,no
1,"Agera Energy, LLC",http://www.ageraenergy.com/,yes
2,Ambit Energy,https://www.ambitenergy.com/rates-and-plans,yes
3,"American Power & Gas of IL, LLC",https://www.americanpowerandgas.com/enroll/,maybe
4,"American PowerNet Management, LP",https://www.americanpowernet.com/,no
5,"AP Gas & Electric (IL), LLC",https://enroll.apge.com/enroll/start,yes
6,"Aspirity Energy, LLC",http://www.aspirityenergy.com/,no
7,"Champion Energy, LLC",http://www.championenergyservices.com/IL/,yes
8,"CleanChoice Energy, Inc.",http://www.cleanchoiceenergy.com/,yes
9,Clearview Energy,http://www.clearviewenergy.com/,yes
10,Constellation Energy,https://www.constellation.com/,no
11,Constellation Energy Services,http://www.constellation.com/pages/default.aspx,yes
12,Direct Energy,http://www.directenergy.com/EN/Pages/default.aspx,yes
13,Dynegy,http://www.dynegy.com/electric-supplier,yes
14,"Eligo Energy, LLC",http://www.eligoenergy.com/,yes
15,"Eligo Energy, LLC",http://www.eligoenergy.com/,repeat
16,Energy Plus,http://www.energypluscompany.com/,no
17,Energy Rewards,http://comcastenergyrewards.com/,yes
18,Energy.ME,http://www.energy.me/,yes
19,Entrust Energy,http://www.entrustenergy.com/,yes
20,FirstEnergy Solutions,http://www.fes.com/,yes
21,Green Mountain Energy Company,http://www.greenmountain.com/,yes
22,Hiko Energy,http://www.hikoenergy.com/,no
23,Homefield Energy,http://www.dynegy.com/homefield,no
24,"IDT Energy, Inc.",http://idtenergy.com/,yes
25,IGS Energy,https://www.igs.com/residential,yes
26,Illinois Gas & Electric,http://www.usgande.com/markets/illinois/,yes
27,Independence Energy,http://www.chooseindependence.com/,no
28,Indra Energy,http://indraenergy.com/,yes
29,Just Energy Solutions Inc.,https://www.justenergy.com/#/enrollment,yes
30,Just Energy Solutions Inc. (Historical),http://www.taraenergy.com/Home/Illinois.aspx,no
31,Liberty Power Holdings LLC,http://www.libertypowercorp.com/,yes
32,"LifeEnergy, LLC",http://www.lifeenergy.com/,yes
33,Major Energy,https://majorenergy.com/landing.php?,maybe
34,"MC Squared Energy Services, LLC",http://www.mc2energyservices.com/,yes
35,"Mega Energy of Illinois, LLC",https://megaenergyllc.com/low-cost-residential-electricity/illinois-residential-electricity/illinois-comed-commonwealth-edison-electricity-rates/,yes
36,"MidAmerican Energy Services, LLC",https://www.midamericanenergyservices.com/ResidentialSmallBusiness/Offers,yes
37,MP2 Energy NE LLC,http://www.mp2energy.com/,no
38,National Gas & Electric,http://www.ngande.com/,yes
39,"NextEra Energy Services Illinois, LLC",https://www.nexteraenergyservices.com/customer-type/,yes
40,Nordic Energy Services,http://www.nordicenergy-us.com/,no
41,North American Power,http://www.napower.com/,yes
42,NRG Home,http://www.nrghomepower.com/,yes
43,Oasis Energy,http://www.oasisenergy.com/,no
44,"Plymouth Rock Energy, LLC",http://www.plymouthenergy.com/,no
45,"Realgy, LLC",http://www.realgyenergyservices.com/,no
46,"ResCom Energy, LLC",http://www.getpositiveenergy.com/,no
47,"Residents Energy, LLC",http://www.residentsenergy.com/,yes
48,"Rushmore Energy, LLC",http://www.rushmoreenergy.com/,yes
49,Santanna Energy Services,https://santannaenergyservices.com/areas-serviced/illinois-gas-and-electric-company/comed-illinois-electric/,yes
50,"SmartEnergy Holdings, LLC",http://www.smartenergy.com/,yes
51,Source Power & Gas LLC,http://www.spgenergy.com/,no
52,"Spark Energy, LLC",https://www.sparkenergy.com/en/home/,yes
53,Tomorrow Energy,https://tomorrowenergy.com/,yes
54,Star Energy Partners LLC,https://www.starenergypartners.com/renewable-energy/,yes
55,Starion Energy,http://www.starionenergy.com/,yes
56,"Stream Energy Illinois, LLC",http://www.mystream.com/,yes
57,Switch Energy LLC,https://switchenergypartners.com/,yes
58,Think Energy,http://www.mythinkenergy.com/,yes
59,Verde Energy USA,https://www.verdeenergy.com/,yes
60,"Viridian Energy PA, LLC",https://enroll.viridian.com/enroll?Q=SWQ9QTEwMDAwMDB8Y29tbW9kaXR5Y2VydD1UfHNvbGFyY2VydD1UfHRzPTYvMTUvMjAxOSA2OjQwOjE5IFBNfExhbmc9RU4%3D,yes
61,"XOOM Energy Illinois, LLC",http://xoomenergy.com/,yes
